Year,Site,x,y,class
2023,HWY-04,60.056231,-113.302092,CS
2023,M99-01,60.11941,-113.6714,CS/BOG/FEN
2023,M99-02,60.11908,-113.662568,BOG/FEN
2023,M99-03,60.11469,-113.66326,DA
2023,M99-04,60.11489,-113.6722,MW
2023,PARS-09,59.954202,-112.458929,MW
2023,PARS-10,59.954524,-112.449846,DA
2023,PARS-11,59.95041,-112.457411,DA
2023,PARS-12,59.950105,-112.449259,DA
2023,SAPL-01,59.96645,-112.39748,MW
2023,SAPL-02,59.96235,-112.40361,MW
2024,WBNP-HAY-01,59.72195,-111.548269,MW
2024,WBNP-HAY-02,59.719868,-111.556449,DA
2024,WBNP-HAY-03,59.725679,-111.55401,DA
2024,WBNP-HAY-04,59.728733,-111.560141,BOG/FEN
2024,WBNP-HWY-01,60.053228,-113.295327,
2024,WBNP-HWY-02,60.05632,-113.28933,
2024,WBNP-HWY-03,60.059548,-113.295405,
2024,WBNP-HWY-04,60.056231,-113.302092,
2024,WBNP-LALA-01,59.522069,-112.227929,CS
2024,WBNP-LALA-02,59.51761,-112.22527,MW
2024,WBNP-LALA-03,59.518137,-112.234361,CP
2024,WBNP-LALA-04,59.522367,-112.235347,CS/CP
2024,WBNP-LALA-05,59.50494,-112.19962,MW
2024,WBNP-LALA-06,59.50499,-112.20855,MW
2024,WBNP-LALA-07,59.50199,-112.18796,MW
2024,WBNP-LALA-08,59.50174,-112.19749,MW
2024,WBNP-LOOP-01,59.81016,-112.02818,MW
2024,WBNP-LOOP-02,59.80611,-112.02176,MW
2024,WBNP-LOOP-03,59.80625,-112.0302,CP
2024,WBNP-LOOP-04,59.79486,-112.98077,CS
2024,WBNP-LOOP-05,59.79133,-111.97535,CS
2024,WBNP-LOOP-06,59.80189,-111.99689,BOG/FEN
2024,WBNP-LOOP-07,59.80333,-111.9886,BOG/FEN
2024,WBNP-LOOP-08,59.79855,-111.98492,MW
2024,WBNP-M99-01,60.11941,-113.6714,CS
2024,WBNP-M99-02,60.11908,-113.662568,BOG/FEN
2024,WBNP-M99-03,60.11469,-113.66326,DA
2024,WBNP-M99-04,60.11489,-113.6722,MW
2024,WBNP-PARS-01,,,DA
2024,WBNP-PARS-02,,,DA
2024,WBNP-PARS-03,,,DA
2024,WBNP-PARS-04,,,DA
2024,WBNP-PARS-05,,,CS
2024,WBNP-PARS-06,,,CS
2024,WBNP-PARS-07,,,CS
2024,WBNP-PARS-08,,,CS
2024,WBNP-PARS-09,59.954202,-112.458929,MW
2024,WBNP-PARS-10,59.954524,-112.449846,DA
2024,WBNP-PARS-11,59.95041,-112.457411,DA
2024,WBNP-PARS-12,59.950105,-112.449259,DA
2024,WBNP-PLR-01,59.585747,-112.260156,CS
2024,WBNP-PLR-02,59.583054,-112.255287,BOG/FEN
2024,WBNP-PLR-03,59.579457,-112.259559,BOG/FEN
2024,WBNP-PLR-04,59.582375,-112.265975,MW
2024,WBNP-SAPL-01,59.96645,-112.39748,MW
2024,WBNP-SAPL-02,59.96235,-112.40361,MW
2024,WBNP-PR-01,59.129794,-112.345774,
2024,WBNP-PR-02,59.126355,-112.342706,
2024,WBNP-PR-03,59.126429,-112.335099,
2024,WBNP-PR-04,59.129804,-112.337676,
