"","sites","x2018","x2019","x2021","x2022","x2023","x2024","y2018","y2019","y2021","y2022","y2023","y2024","dist2018.2019","dist2019.2021","dist2021.2022","dist2022.2023","dist2023.2024","dist2018.2021","dist2019.2022","dist2021.2023","dist2022.2024","dist2018.2022","dist2019.2023","dist2021.2024","dist2018.2023","dist2019.2024","dist2018.2024"
"73","WBNP-PARS-09",NA,-112.45889,-112.45889,-112.45889,-112.458929,-112.458929,NA,59.95413,59.95413,59.95413,59.954202,59.954202,NA,0,0,8.30454160478218,0,NA,0,8.30454160478218,8.30454160478218,NA,8.30454160478218,8.30454160478218,NA,8.30454160478218,NA
"74","WBNP-PARS-10",NA,-112.44991,-112.44991,-112.44991,-112.449846,-112.449846,NA,59.95452,59.95452,59.95452,59.954524,59.954524,NA,0,0,3.59480417187387,0,NA,0,3.59480417187387,3.59480417187387,NA,3.59480417187387,3.59480417187387,NA,3.59480417187387,NA
"75","WBNP-PARS-11",NA,-112.45798,-112.45756,-112.45756,-112.457411,-112.457411,NA,59.94976,59.9504,59.9504,59.95041,59.95041,NA,74.9927582554612,0,8.37999995676761,0,NA,74.9927582554612,8.37999995676761,8.37999995676761,NA,79.004269944391,8.37999995676761,NA,79.004269944391,NA
"76","WBNP-PARS-12",NA,-112.44922,-112.44922,-112.44922,-112.449259,-112.449259,NA,59.95015,59.95015,59.95015,59.950105,59.950105,NA,0,0,5.46078228964555,0,NA,0,5.46078228964555,5.46078228964555,NA,5.46078228964555,5.46078228964555,NA,5.46078228964555,NA
"77","WBNP-PARS-20",-112.25542,NA,NA,NA,NA,NA,59.73984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","WBNP-PARS-21",-112.20094,NA,NA,NA,NA,NA,59.72356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","WBNP-PARS-22",-112.17233,NA,NA,NA,NA,NA,59.7271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","WBNP-PARS-23",-112.17868,NA,NA,NA,NA,NA,59.71512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","WBNP-PARS-24",-112.1716,NA,NA,NA,NA,NA,59.70251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","WBNP-PARS-25",-112.45371,NA,NA,NA,NA,NA,59.9338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","WBNP-PARS-26",-112.45205,NA,NA,NA,NA,NA,59.9427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
