bsm_id,bsm_scientific_name,bsm_common_name,bsm_species_id,exists_in_wt
4925,Psarocolius bifasciatus,Olive Oropendola,,t
4928,Psarocolius viridis,Green Oropendola,,t
4930,Psephotus haematonotus,Red-rumped Parrot,,t
4931,Psephotus varius,Mulga Parrot,,t
4932,Pseudacris brimleyi,Brimley's Chorus Frog,,f
4933,Pseudacris clarkii,Spotted Chorus Frog,,f
4935,Pseudacris feriarum,Upland Chorus Frog,,f
4936,Pseudacris nigrita,Southern Chorus Frog,,f
4937,Pseudacris ocularis,Little Grass Frog,,f
4938,Pseudacris ornata,Ornate Chorus Frog,,f
4939,Pseudacris streckeri,Strecker's Chorus Frog,,f
4940,Pseudacris triseriata,Striped Chorus Frog,88,f
4941,Pseudasthenes humicola,Dusky-tailed Canastero,,t
4943,Pseudastur occidentalis,Grey-backed Hawk,,t
4944,Pseudelaenia leucospodia,Grey-and-white Tyrannulet,,t
4945,Pseudeos cardinalis,Cardinal Lory,,f
4946,Pseudibis papillosa,Red-naped Ibis,,t
4947,Pseudocolaptes boissonneautii,Streaked Tuftedcheek,,t
4949,Pseudocolopteryx citreola,Ticking Doradito,,t
4950,Pseudocolopteryx dinelliana,Dinelli's Doradito,,t
4951,Pseudocolopteryx flaviventris,Warbling Doradito,,t
4952,Pseudocolopteryx sclateri,Crested Doradito,,t
4953,Pseudoleistes guirahuro,Yellow-rumped Marshbird,,t
4954,Pseudoleistes virescens,Brown-and-yellow Marshbird,,t
4956,Pseudonigrita arnaudi,Grey-headed Social-Weaver,,t
4958,Pseudopodoces humilis,Ground Tit,,t
4959,Pseudorectes ferrugineus,Rusty Pitohui,,t
4960,Pseudoseisura cristata,Caatinga Cacholote,,t
4961,Pseudoseisura gutturalis,White-throated Cacholote,,t
4962,Pseudoseisura lophotes,Brown Cacholote,,t
4963,Pseudoseisura unirufa,Rufous Cacholote,,t
4964,Pseudospingus verticalis,Black-headed Hemispingus,,t
4966,Pseudotriccus ruficeps,Rufous-headed Pygmy-Tyrant,,t
4967,Psilopogon annamensis,Indochinese Barbet,,t
4968,Psilopogon armillaris,Flame-fronted Barbet,,t
4969,Psilopogon asiaticus,Blue-throated Barbet,,t
4970,Psilopogon auricularis,Necklaced Barbet,,f
4971,Psilopogon australis,Yellow-eared Barbet,,t
4972,Psilopogon chrysopogon,Gold-whiskered Barbet,,t
4973,Psilopogon corvinus,Brown-throated Barbet,,t
4974,Psilopogon duvaucelii,Black-eared Barbet,,t
4975,Psilopogon eximius,Bornean Barbet,,t
4976,Psilopogon faber,Chinese Barbet,,t
4977,Psilopogon faiostrictus,Green-eared Barbet,,t
4978,Psilopogon flavifrons,Yellow-fronted Barbet,,t
4979,Psilopogon franklinii,Golden-throated Barbet,,t
4980,Psilopogon haemacephalus,Coppersmith Barbet,,t
4981,Psilopogon henricii,Yellow-crowned Barbet,,t
4982,Psilopogon incognitus,Moustached Barbet,,t
4983,Psilopogon lagrandieri,Red-vented Barbet,,t
4984,Psilopogon lineatus,Lineated Barbet,,t
4985,Psilopogon malabaricus,Malabar Barbet,,t
4986,Psilopogon monticola,Mountain Barbet,,t
4987,Psilopogon mystacophanos,Red-throated Barbet,,t
4988,Psilopogon nuchalis,Taiwan Barbet,,t
4989,Psilopogon oorti,Black-browed Barbet,,t
4990,Psilopogon pulcherrimus,Golden-naped Barbet,,t
4991,Psilopogon pyrolophus,Fire-tufted Barbet,,t
4992,Psilopogon rafflesii,Red-crowned Barbet,,t
5210,Radjah radjah,Radjah Shelduck,,t
4993,Psilopogon rubricapillus,Crimson-fronted Barbet,,f
4994,Psilopogon virens,Great Barbet,,t
4995,Psilopogon viridis,White-cheeked Barbet,,t
4996,Psilopogon zeylanicus,Brown-headed Barbet,,t
4997,Psilopsiagon aurifrons,Mountain Parakeet,,t
4998,Psilopsiagon aymara,Grey-hooded Parakeet,,t
4999,Psilorhamphus guttatus,Spotted Bamboowren,,t
5002,Psittacara erythrogenys,Red-masked Parakeet,,t
5005,Psittacara leucophthalmus,White-eyed Parakeet,,t
5008,Psittacara wagleri,Scarlet-fronted Parakeet,,t
5009,Psittacula alexandri,Red-breasted Parakeet,,t
5010,Psittacula calthrapae,Layard's Parakeet,,f
5011,Psittacula columboides,Malabar Parakeet,,t
5012,Psittacula cyanocephala,Plum-headed Parakeet,,t
5013,Psittacula eques,Echo Parakeet,,f
5014,Psittacula eupatria,Alexandrine Parakeet,,t
5015,Psittacula finschii,Grey-headed Parakeet,,t
5016,Psittacula himalayana,Slaty-headed Parakeet,,t
5017,Psittacula krameri,Ring-necked Parakeet,2372,t
5018,Psittacula longicauda,Long-tailed Parakeet,,t
5019,Psittacus erithacus,Grey Parrot,,t
5020,Psittinus cyanurus,Blue-rumped Parrot,,t
5021,Psittiparus gularis,Grey-headed Parrotbill,,t
5022,Psophia crepitans,Grey-winged Trumpeter,,t
5023,Psophia leucoptera,Pale-winged Trumpeter,,t
5024,Psophia viridis,Dark-winged Trumpeter,,t
5025,Psophocichla litsitsirupa,Groundscraper Thrush,,t
5026,Psophodes cristatus,Chirruping Wedgebill,,f
5027,Psophodes nigrogularis,Western Whipbird,,t
5028,Psophodes occidentalis,Chiming Wedgebill,,t
5029,Psophodes olivaceus,Eastern Whipbird,,t
